iter	Passed	Remaining
0	0	267
1	0	222
2	1	204
3	1	182
4	1	174
5	2	170
6	3	214
7	3	208
8	3	202
9	4	200
10	4	195
11	4	188
12	4	185
13	5	179
14	5	173
15	5	170
16	5	166
17	6	163
18	6	160
19	6	157
20	6	157
21	7	157
22	7	156
23	7	157
24	8	156
25	8	155
26	8	156
27	9	156
28	9	157
29	10	157
30	10	158
31	10	160
32	11	161
33	11	161
34	12	160
35	12	160
36	12	161
37	13	163
38	13	162
39	14	162
40	14	161
41	14	159
42	14	158
43	15	158
44	16	162
45	16	160
46	16	159
47	16	158
48	17	158
49	17	159
50	18	160
51	18	160
52	18	159
53	19	158
54	19	157
55	19	156
56	20	155
57	20	154
58	20	154
59	20	153
60	21	152
61	21	153
62	22	152
63	22	152
64	22	152
65	23	153
66	23	153
67	24	153
68	24	152
69	24	152
70	25	152
71	25	152
72	25	151
73	26	151
74	26	151
75	27	150
76	27	150
77	28	153
78	28	153
79	29	152
80	29	152
81	29	151
82	30	151
83	30	151
84	31	151
85	31	151
86	31	150
87	32	150
88	33	152
89	33	151
90	33	151
91	34	150
92	34	152
93	36	155
94	37	158
95	39	164
96	40	167
97	41	168
98	42	171
99	42	171
100	43	170
101	43	169
102	43	168
103	44	167
104	44	166
105	44	166
106	45	166
107	45	165
108	46	165
109	46	165
110	46	164
111	47	163
112	47	163
113	48	163
114	48	163
115	49	162
116	49	162
117	49	161
118	50	161
119	50	160
120	50	159
121	51	158
122	51	158
123	52	158
124	52	158
125	53	158
126	53	158
127	54	157
128	54	157
129	55	156
130	55	156
131	55	155
132	56	155
133	56	155
134	57	154
135	58	156
136	58	155
137	59	155
138	59	155
139	60	154
140	60	153
141	60	153
142	61	153
143	62	154
144	62	153
145	63	153
146	63	152
147	63	152
148	64	151
149	64	151
150	65	150
151	65	149
152	66	150
153	66	149
154	67	149
155	67	149
156	68	149
157	68	148
158	69	148
159	69	147
160	70	147
161	70	147
162	71	147
163	72	147
164	72	147
165	73	147
166	73	147
167	74	146
168	74	146
169	75	146
170	76	146
171	76	146
172	77	145
173	77	145
174	78	144
175	78	144
176	79	144
177	79	144
178	80	143
179	80	143
180	80	142
181	81	142
182	81	141
183	81	140
184	82	140
185	82	139
186	83	140
187	84	139
188	84	138
189	84	138
190	85	138
191	85	137
192	86	136
193	86	136
194	86	135
195	87	135
196	87	134
197	87	134
198	88	134
199	89	134
200	89	133
201	90	133
202	90	133
203	91	132
204	91	132
205	92	131
206	92	131
207	93	130
208	93	130
209	94	129
210	95	131
211	96	131
212	96	130
213	97	130
214	98	130
215	98	129
216	99	129
217	99	129
218	100	129
219	101	128
220	101	128
221	102	128
222	103	128
223	103	127
224	104	127
225	104	127
226	105	126
227	106	126
228	106	126
229	107	125
230	107	125
231	108	125
232	109	124
233	109	124
234	109	123
235	110	123
236	111	123
237	111	123
238	112	122
239	112	121
240	112	121
241	113	121
242	114	120
243	114	120
244	115	119
245	115	119
246	115	118
247	116	118
248	116	117
249	117	117
250	117	116
251	118	116
252	118	115
253	118	115
254	119	114
255	119	114
256	120	113
257	120	113
258	121	112
259	122	112
260	122	112
261	123	111
262	123	111
263	123	110
264	124	110
265	124	109
266	125	109
267	125	108
268	126	108
269	126	107
270	126	107
271	127	106
272	127	105
273	127	105
274	128	104
275	128	104
276	128	103
277	129	103
278	130	103
279	130	102
280	131	102
281	131	101
282	132	101
283	132	100
284	133	100
285	133	99
286	133	99
287	134	98
288	134	98
289	135	97
290	135	97
291	136	96
292	136	96
293	136	95
294	137	95
295	137	94
296	138	94
297	138	93
298	138	93
299	139	93
300	140	92
301	140	92
302	141	91
303	141	91
304	142	90
305	142	90
306	142	89
307	143	89
308	144	89
309	144	88
310	145	88
311	145	87
312	146	87
313	146	86
314	146	86
315	147	85
316	147	85
317	148	84
318	148	84
319	148	83
320	149	83
321	149	82
322	150	82
323	150	81
324	150	81
325	151	80
326	151	80
327	152	79
328	152	79
329	152	78
330	153	78
331	154	78
332	154	77
333	155	77
334	155	76
335	155	76
336	156	75
337	156	75
338	157	74
339	157	74
340	158	73
341	158	73
342	158	72
343	159	72
344	159	71
345	160	71
346	160	70
347	160	70
348	161	69
349	161	69
350	162	68
351	162	68
352	162	67
353	163	67
354	163	66
355	164	66
356	165	66
357	166	65
358	166	65
359	166	64
360	167	64
361	167	64
362	168	63
363	168	63
364	169	62
365	169	62
366	170	61
367	170	61
368	170	60
369	171	60
370	171	59
371	172	59
372	172	58
373	173	58
374	173	57
375	174	57
376	174	56
377	174	56
378	175	56
379	175	55
380	176	55
381	177	54
382	177	54
383	178	53
384	178	53
385	179	52
386	180	52
387	180	52
388	181	51
389	181	51
390	182	50
391	182	50
392	182	49
393	183	49
394	184	48
395	184	48
396	184	47
397	185	47
398	185	47
399	186	46
400	186	46
401	187	45
402	187	45
403	188	44
404	188	44
405	189	43
406	189	43
407	190	42
408	191	42
409	192	42
410	192	41
411	193	41
412	193	40
413	194	40
414	194	39
415	195	39
416	195	38
417	196	38
418	196	38
419	197	37
420	197	37
421	198	36
422	198	36
423	199	35
424	199	35
425	199	34
426	200	34
427	200	33
428	201	33
429	201	32
430	202	32
431	202	31
432	203	31
433	203	30
434	203	30
435	204	29
436	204	29
437	205	29
438	205	28
439	207	28
440	207	27
441	208	27
442	208	26
443	208	26
444	209	25
445	210	25
446	210	24
447	211	24
448	211	24
449	212	23
450	212	23
451	212	22
452	213	22
453	213	21
454	214	21
455	214	20
456	215	20
457	215	19
458	216	19
459	216	18
460	216	18
461	217	17
462	217	17
463	218	16
464	218	16
465	219	15
466	219	15
467	220	15
468	220	14
469	220	14
470	221	13
471	221	13
472	222	12
473	222	12
474	222	11
475	223	11
476	223	10
477	223	10
478	224	9
479	224	9
480	225	8
481	225	8
482	226	7
483	226	7
484	227	7
485	227	6
486	228	6
487	228	5
488	229	5
489	229	4
490	229	4
491	230	3
492	230	3
493	231	2
494	231	2
495	231	1
496	232	1
497	232	0
498	233	0
499	233	0
